EXP_ID,NUMBER_THREAD,RESULT,RUN_TIME,THREAD_MEAN_TIME,THREAD_MIN_TIME,THREAD_MAX_TIME,THREAD_TIME_STD,VERTEX_ALLOCATED,VERTEX_ALLOCATED_PER_THREAD,MINIGRAPH_ALLOCATED,MINIGRAPH_ALLOCATED_PER_THREAD
-1,64,2077903,0.0121852,-0.000188915,-0.000188915,-0.000188915,2.98156e-19,0.00 Bytes,0.00 Bytes,3.28 MB,52.48 KB
-1,64,2077903,0.0185305,-0.000137201,-0.000137201,-0.000137201,0,0.00 Bytes,0.00 Bytes,3.03 MB,48.50 KB
-1,64,2077903,0.0137843,-0.000127023,-0.000127023,-0.000127023,1.89735e-19,0.00 Bytes,0.00 Bytes,2.96 MB,47.38 KB
-1,64,2077903,0.0161346,-0.000137621,-0.000137621,-0.000137621,0,0.00 Bytes,0.00 Bytes,2.79 MB,44.68 KB
-1,64,2077903,0.0159278,-0.000151202,-0.000151202,-0.000151202,2.43945e-19,0.00 Bytes,0.00 Bytes,2.95 MB,47.28 KB
-1,64,2077903,0.0182336,-0.000156534,-0.000156534,-0.000156534,1.0842e-19,0.00 Bytes,0.00 Bytes,3.23 MB,51.69 KB
-1,64,2077903,0.0112851,-0.000137216,-0.000137216,-0.000137216,0,0.00 Bytes,0.00 Bytes,3.07 MB,49.05 KB
-1,64,2077903,0.0169885,-0.000153389,-0.000153389,-0.000153389,1.6263e-19,0.00 Bytes,0.00 Bytes,3.04 MB,48.60 KB
-1,64,2077903,0.0158995,-8.9937e-05,-8.9937e-05,-8.9937e-05,0,0.00 Bytes,0.00 Bytes,3.18 MB,50.84 KB
-1,64,2077903,0.0128875,-0.000154715,-0.000154715,-0.000154715,1.6263e-19,0.00 Bytes,0.00 Bytes,3.08 MB,49.22 KB
-1,64,2077903,0.0177269,-0.000139444,-0.000139444,-0.000139444,0,0.00 Bytes,0.00 Bytes,3.02 MB,48.26 KB
-1,64,2077903,0.0204998,-0.000149322,-0.000149322,-0.000149322,1.89735e-19,0.00 Bytes,0.00 Bytes,3.22 MB,51.44 KB
-1,64,2077903,0.0137432,-0.000145699,-0.000145699,-0.000145699,1.0842e-19,0.00 Bytes,0.00 Bytes,2.78 MB,44.54 KB
-1,64,1153145067,0.017298,-0.000151004,-0.000151004,-0.000151004,1.35525e-19,23.84 MB,381.47 KB,0.00 Bytes,0.00 Bytes
-1,64,810216972,0.039678,-0.000137547,-0.000137547,-0.000137547,0,30.22 MB,483.45 KB,7.01 MB,112.15 KB
-1,64,4514137,0.0223315,-0.00021272,-0.00021272,-0.00021272,2.98156e-19,0.00 Bytes,0.00 Bytes,4.84 MB,77.38 KB
-1,64,27296347468,0.1746,-0.000121411,-0.000121411,-0.000121411,8.13152e-20,63.74 MB,1019.77 KB,7.11 MB,113.72 KB
-1,64,87365439071,0.453889,-0.000150346,-0.000150346,-0.000150346,1.6263e-19,178.22 MB,2.78 MB,7.27 MB,116.26 KB
-1,64,92205170253,2.04655,-0.000122522,-0.000122522,-0.000122522,5.42101e-20,130.30 MB,2.04 MB,10.36 MB,165.75 KB
-1,64,260052841,0.063804,-0.000135134,-0.000135134,-0.000135134,1.35525e-19,30.22 MB,483.45 KB,15.43 MB,246.93 KB
